scenario,true_fcr,proxy_fcr,repeat_30d,repeat_31_60d,churn,aht,burnout,compliance,strain,rep_id,condition,call_id
clean,0.4721,0.8905,0.09,0.0852,0.0475,592.3,0.4345,0.3177,0.3854,REP-0055,baseline,BASELINE-00055
clean,0.7698,0.8896,0.031,0.0525,0.0545,484.6,0.0742,0.1402,0.3954,REP-0056,baseline,BASELINE-00056
gamed_metric,0.1274,0.9085,0.11,0.5287,0.1215,531.8,0.3882,0.3089,0.3009,REP-0057,baseline,BASELINE-00057
loyalty_offer_missed,0.1352,0.9388,0.2701,0.6334,0.1383,538.8,0.4212,0.4193,0.4058,REP-0058,baseline,BASELINE-00058
loyalty_offer_missed,0.1532,0.8871,0.1839,0.688,0.1607,568.6,0.2751,0.3714,0.4072,REP-0059,baseline,BASELINE-00059
clean,0.6424,0.9297,0.0408,0.03,0.0735,515.1,0.1236,0.2612,0.3239,REP-0060,baseline,BASELINE-00060
clean,0.7383,0.9585,0.0398,0.0308,0.035,549.8,0.1464,0.283,0.3265,REP-0061,baseline,BASELINE-00061
gamed_metric,0.1429,0.9691,0.141,0.5178,0.0715,485.2,0.2075,0.2054,0.3015,REP-0062,baseline,BASELINE-00062
fraud_care_promo,0.2636,0.9278,0.2108,0.4116,0.0746,528.9,0.3046,0.2934,0.4079,REP-0063,baseline,BASELINE-00063
loyalty_offer_missed,0.0621,0.9311,0.2206,0.6687,0.1062,507.3,0.2605,0.2598,0.3247,REP-0064,baseline,BASELINE-00064
loyalty_offer_missed,0.0713,0.9226,0.2735,0.6255,0.1724,617.6,0.5754,0.4646,0.3419,REP-0065,baseline,BASELINE-00065
clean,0.6743,0.8749,0.0568,0.0852,0.0051,613.7,0.6096,0.4111,0.4704,REP-0066,baseline,BASELINE-00066
fraud_hic_exchange,0.1102,0.8858,0.3391,0.4694,0.1074,542.9,0.3476,0.4088,0.5037,REP-0067,baseline,BASELINE-00067
clean,0.5431,0.8808,0.0531,0.0499,0.0464,562.0,0.3237,0.3944,0.4239,REP-0068,baseline,BASELINE-00068
unresolvable_clean,0.069,0.5751,0.3216,0.2193,0.0943,541.0,0.3912,0.4248,0.3272,REP-0069,baseline,BASELINE-00069
fraud_store_promo,0.1883,0.8349,0.2714,0.4409,0.0981,451.2,0.1049,0.1977,0.393,REP-0070,baseline,BASELINE-00070
gamed_metric,0.1753,0.9489,0.176,0.5254,0.0743,527.8,0.3677,0.4143,0.4376,REP-0071,baseline,BASELINE-00071
clean,0.5957,0.9235,0.0239,0.0514,0.0382,540.3,0.2227,0.2336,0.3952,REP-0072,baseline,BASELINE-00072
clean,0.6639,0.925,0.0067,0.0651,0.049,445.8,0.0313,0.2129,0.3359,REP-0073,baseline,BASELINE-00073
fraud_care_promo,0.1995,0.943,0.2189,0.4075,0.0782,573.4,0.2297,0.2581,0.3723,REP-0074,baseline,BASELINE-00074
clean,0.7848,0.9362,0.0323,0.0402,0.0275,427.2,0.0,0.1371,0.3459,REP-0075,baseline,BASELINE-00075
clean,0.5697,0.8119,0.063,0.0871,0.066,518.3,0.4896,0.5389,0.3893,REP-0076,baseline,BASELINE-00076
fraud_line_add,0.1643,0.8506,0.2025,0.4572,0.1193,562.5,0.4809,0.4223,0.3764,REP-0077,baseline,BASELINE-00077
clean,0.6551,0.8442,0.0686,0.154,0.0567,530.4,0.2195,0.2591,0.3243,REP-0078,baseline,BASELINE-00078
clean,0.4889,0.8498,0.0814,0.0027,0.0263,490.2,0.2203,0.3967,0.4018,REP-0079,baseline,BASELINE-00079
clean,0.6342,0.9191,0.0702,0.0375,0.0043,483.1,0.2625,0.243,0.3992,REP-0080,baseline,BASELINE-00080
clean,0.6571,0.9199,0.0868,0.0328,0.0,516.8,0.3477,0.3402,0.3651,REP-0081,baseline,BASELINE-00081
clean,0.5166,0.8923,0.12,0.041,0.0439,578.8,0.4685,0.2467,0.3827,REP-0082,baseline,BASELINE-00082
fraud_hic_exchange,0.109,0.8111,0.3856,0.4473,0.121,572.8,0.3241,0.3347,0.3907,REP-0083,baseline,BASELINE-00083
clean,0.82,0.8939,0.046,0.0546,0.0616,476.8,0.0747,0.2146,0.3262,REP-0084,baseline,BASELINE-00084
clean,0.678,0.8801,0.0517,0.1013,0.0655,506.4,0.1163,0.2077,0.3761,REP-0085,baseline,BASELINE-00085
fraud_line_add,0.1987,0.8903,0.2063,0.4489,0.0978,504.0,0.131,0.2958,0.3852,REP-0086,baseline,BASELINE-00086
clean,0.8171,0.8831,0.048,0.0008,0.0582,506.9,0.2099,0.2914,0.3445,REP-0087,baseline,BASELINE-00087
gamed_metric,0.1531,0.9207,0.1604,0.4304,0.1011,472.1,0.1217,0.2317,0.4488,REP-0088,baseline,BASELINE-00088
clean,0.7581,0.8701,0.0254,0.0808,0.0236,568.1,0.274,0.3763,0.4072,REP-0089,baseline,BASELINE-00089
loyalty_offer_missed,0.1039,0.885,0.199,0.6629,0.115,566.4,0.3776,0.3079,0.4431,REP-0090,baseline,BASELINE-00090
fraud_store_promo,0.1205,0.8815,0.3261,0.4125,0.0593,482.9,0.2042,0.2743,0.3455,REP-0091,baseline,BASELINE-00091
fraud_care_promo,0.188,0.9063,0.183,0.4027,0.0923,586.3,0.5029,0.413,0.4456,REP-0092,baseline,BASELINE-00092
loyalty_offer_missed,0.0475,0.917,0.2149,0.6079,0.1503,582.0,0.464,0.3828,0.374,REP-0093,baseline,BASELINE-00093
fraud_hic_exchange,0.0804,0.8572,0.2797,0.5198,0.1189,518.8,0.2785,0.2464,0.4159,REP-0094,baseline,BASELINE-00094
clean,0.6857,0.9059,0.0459,0.0694,0.0478,519.3,0.2867,0.1706,0.3384,REP-0095,baseline,BASELINE-00095
fraud_care_promo,0.1647,0.9219,0.2289,0.3445,0.0869,487.2,0.2449,0.2955,0.4076,REP-0096,baseline,BASELINE-00096
loyalty_offer_missed,0.0328,0.899,0.2001,0.611,0.1041,565.0,0.3172,0.2772,0.3605,REP-0097,baseline,BASELINE-00097
fraud_line_add,0.1535,0.8436,0.2513,0.4429,0.0918,541.0,0.2709,0.463,0.414,REP-0098,baseline,BASELINE-00098
gamed_metric,0.1182,0.952,0.0832,0.4696,0.0805,593.8,0.2955,0.3565,0.4606,REP-0099,baseline,BASELINE-00099
clean,0.6953,0.9049,0.0675,0.0219,0.0521,533.4,0.2934,0.4521,0.3168,REP-0100,baseline,BASELINE-00100
clean,0.7298,0.8954,0.1114,0.0318,0.0153,504.9,0.2514,0.2976,0.3447,REP-0101,baseline,BASELINE-00101
clean,0.5347,0.9238,0.0547,0.0318,0.0508,615.4,0.52,0.3336,0.438,REP-0102,baseline,BASELINE-00102
clean,0.6095,0.9217,0.0203,0.1186,0.0536,521.5,0.2576,0.2355,0.3354,REP-0103,baseline,BASELINE-00103
fraud_hic_exchange,0.0975,0.8479,0.3157,0.4591,0.0745,498.0,0.3584,0.2555,0.418,REP-0104,baseline,BASELINE-00104
fraud_care_promo,0.1552,0.9128,0.2201,0.4707,0.0919,580.5,0.4351,0.2869,0.4065,REP-0105,baseline,BASELINE-00105
clean,0.5947,0.8594,0.0504,0.0,0.0413,567.1,0.3445,0.4407,0.3081,REP-0106,baseline,BASELINE-00106
clean,0.5998,0.9173,0.093,0.0921,0.0742,502.7,0.3241,0.3941,0.3679,REP-0107,baseline,BASELINE-00107
loyalty_offer_missed,0.093,0.9127,0.1537,0.6057,0.1649,529.7,0.2431,0.3288,0.3719,REP-0108,baseline,BASELINE-00108
fraud_store_promo,0.1538,0.8721,0.2944,0.5022,0.1132,647.5,0.4527,0.2887,0.3753,REP-0109,baseline,BASELINE-00109
clean,0.6881,0.8942,0.1228,0.0457,0.0693,523.5,0.3574,0.2562,0.341,REP-0110,baseline,BASELINE-00110
unresolvable_clean,0.0739,0.5063,0.3252,0.2112,0.0865,530.6,0.3164,0.2788,0.3614,REP-0111,baseline,BASELINE-00111
fraud_line_add,0.1418,0.8107,0.2121,0.465,0.0994,512.2,0.3209,0.3696,0.4867,REP-0112,baseline,BASELINE-00112
gamed_metric,0.1391,0.9121,0.1691,0.5356,0.1268,541.2,0.3306,0.4345,0.4608,REP-0113,baseline,BASELINE-00113
clean,0.6347,0.9528,0.033,0.0,0.0365,526.3,0.466,0.4727,0.3736,REP-0114,baseline,BASELINE-00114
clean,0.6317,0.9572,0.058,0.0878,0.0264,563.2,0.468,0.404,0.4302,REP-0115,baseline,BASELINE-00115
gamed_metric,0.1007,0.9017,0.126,0.488,0.0928,522.0,0.3165,0.3121,0.3827,REP-0116,baseline,BASELINE-00116
gamed_metric,0.0731,0.8963,0.0889,0.5184,0.0956,564.3,0.3991,0.3602,0.369,REP-0117,baseline,BASELINE-00117
fraud_store_promo,0.1372,0.903,0.3243,0.438,0.1541,503.7,0.1139,0.2803,0.38,REP-0118,baseline,BASELINE-00118
clean,0.5962,0.9087,0.0634,0.0192,0.034,499.9,0.136,0.2592,0.3863,REP-0119,baseline,BASELINE-00119
clean,0.6105,0.9048,0.1045,0.1108,0.046,571.7,0.4065,0.2986,0.4095,REP-0120,baseline,BASELINE-00120
clean,0.7294,0.9376,0.0692,0.0,0.0418,508.3,0.1259,0.2282,0.3651,REP-0121,baseline,BASELINE-00121
gamed_metric,0.1732,0.9629,0.088,0.5023,0.1172,487.1,0.3009,0.4219,0.3647,REP-0122,baseline,BASELINE-00122
clean,0.5082,0.9078,0.0412,0.0942,0.014,513.0,0.3881,0.2092,0.3505,REP-0123,baseline,BASELINE-00123
fraud_store_promo,0.2599,0.8027,0.3107,0.4613,0.0741,497.8,0.1406,0.2107,0.3377,REP-0124,baseline,BASELINE-00124
gamed_metric,0.1819,0.9122,0.0995,0.5026,0.0967,509.4,0.2123,0.2702,0.4738,REP-0125,baseline,BASELINE-00125
clean,0.633,0.9328,0.0643,0.0786,0.0238,578.0,0.4508,0.4279,0.4117,REP-0126,baseline,BASELINE-00126
clean,0.5812,0.9485,0.0198,0.1052,0.0529,525.0,0.2188,0.362,0.4255,REP-0127,baseline,BASELINE-00127
clean,0.466,0.9289,0.0092,0.0,0.0243,538.7,0.1993,0.3446,0.4293,REP-0128,baseline,BASELINE-00128
clean,0.6561,0.8844,0.0787,0.0544,0.0404,541.0,0.3665,0.3684,0.3694,REP-0129,baseline,BASELINE-00129
fraud_line_add,0.2001,0.8792,0.2668,0.4025,0.1234,521.7,0.2252,0.242,0.3703,REP-0130,baseline,BASELINE-00130
gamed_metric,0.1304,0.8856,0.1546,0.4586,0.0909,543.2,0.3168,0.3689,0.3701,REP-0131,baseline,BASELINE-00131
clean,0.6624,0.9001,0.0872,0.0,0.0503,472.1,0.0918,0.2375,0.4375,REP-0132,baseline,BASELINE-00132
clean,0.6942,0.8917,0.0237,0.0632,0.032,558.1,0.3467,0.3702,0.4666,REP-0133,baseline,BASELINE-00133
loyalty_offer_missed,0.1176,0.9428,0.1534,0.6159,0.1397,514.0,0.2331,0.2818,0.4178,REP-0134,baseline,BASELINE-00134
clean,0.7437,0.898,0.0586,0.0369,0.0306,579.0,0.4177,0.3798,0.4388,REP-0135,baseline,BASELINE-00135
clean,0.6108,0.8933,0.0238,0.0638,0.0504,575.4,0.4551,0.218,0.4282,REP-0136,baseline,BASELINE-00136
fraud_store_promo,0.1349,0.9067,0.3123,0.4546,0.0755,568.2,0.2601,0.3226,0.3343,REP-0137,baseline,BASELINE-00137
fraud_hic_exchange,0.1322,0.8626,0.3504,0.5159,0.0962,537.6,0.2812,0.406,0.3722,REP-0138,baseline,BASELINE-00138
clean,0.586,0.9732,0.0674,0.1336,0.0312,537.6,0.1726,0.2906,0.4245,REP-0139,baseline,BASELINE-00139
clean,0.6169,0.8941,0.0665,0.0802,0.0424,555.3,0.3861,0.3853,0.3509,REP-0140,baseline,BASELINE-00140
clean,0.6013,0.9666,0.0556,0.1045,0.0183,493.9,0.1274,0.2249,0.4088,REP-0141,baseline,BASELINE-00141
clean,0.5361,0.9019,0.1122,0.0288,0.0511,612.0,0.3646,0.2439,0.4065,REP-0142,baseline,BASELINE-00142
loyalty_offer_missed,0.0975,1.0,0.2178,0.6342,0.1399,571.7,0.5261,0.2993,0.4003,REP-0143,baseline,BASELINE-00143
fraud_store_promo,0.1027,0.8352,0.2866,0.4168,0.1012,595.8,0.5011,0.4836,0.3738,REP-0144,baseline,BASELINE-00144
clean,0.5538,0.9009,0.0401,0.0384,0.037,586.6,0.322,0.2565,0.4269,REP-0145,baseline,BASELINE-00145
fraud_hic_exchange,0.1321,0.9081,0.3455,0.4177,0.1252,579.4,0.3044,0.3232,0.2904,REP-0146,baseline,BASELINE-00146
clean,0.6018,0.8842,0.0327,0.0482,0.077,504.7,0.2772,0.4198,0.3647,REP-0147,baseline,BASELINE-00147
clean,0.5943,0.8922,0.0549,0.0511,0.0505,542.0,0.353,0.2869,0.3956,REP-0148,baseline,BASELINE-00148
clean,0.7069,0.9151,0.0901,0.0684,0.0558,506.1,0.2206,0.2806,0.3834,REP-0149,baseline,BASELINE-00149
fraud_store_promo,0.2445,0.8517,0.2997,0.3709,0.0771,537.3,0.2619,0.2916,0.405,REP-0150,baseline,BASELINE-00150
gamed_metric,0.0813,0.8733,0.155,0.5369,0.0611,511.7,0.2316,0.211,0.3897,REP-0151,baseline,BASELINE-00151
loyalty_offer_missed,0.125,0.9348,0.1659,0.7576,0.1446,523.9,0.203,0.3693,0.2841,REP-0152,baseline,BASELINE-00152
gamed_metric,0.0729,0.8901,0.1411,0.4743,0.1015,496.6,0.3236,0.3008,0.3855,REP-0153,baseline,BASELINE-00153
fraud_hic_exchange,0.066,0.906,0.402,0.4017,0.1128,535.8,0.2448,0.3144,0.347,REP-0154,baseline,BASELINE-00154
clean,0.7396,0.8867,0.04,0.0434,0.062,538.9,0.2567,0.1541,0.3687,REP-0155,baseline,BASELINE-00155
unresolvable_clean,0.1053,0.5935,0.3425,0.2809,0.093,528.3,0.2635,0.314,0.4545,REP-0156,baseline,BASELINE-00156
fraud_line_add,0.1838,0.8621,0.2588,0.4444,0.0908,551.9,0.3329,0.2652,0.3882,REP-0157,baseline,BASELINE-00157
unresolvable_clean,0.077,0.5654,0.3097,0.329,0.0548,487.9,0.17,0.3456,0.4527,REP-0158,baseline,BASELINE-00158
clean,0.6138,0.9525,0.046,0.0018,0.0614,589.0,0.4293,0.3819,0.3466,REP-0159,baseline,BASELINE-00159
clean,0.6402,0.9371,0.0399,0.0296,0.0378,503.9,0.3285,0.3674,0.3872,REP-0160,baseline,BASELINE-00160
fraud_store_promo,0.1387,0.829,0.3263,0.399,0.1007,543.4,0.311,0.3336,0.4027,REP-0161,baseline,BASELINE-00161
clean,0.6286,0.9007,0.0558,0.0787,0.034,506.8,0.2118,0.3517,0.3103,REP-0162,baseline,BASELINE-00162
unresolvable_clean,0.0436,0.5264,0.3048,0.2868,0.0725,570.0,0.5062,0.3179,0.3092,REP-0163,baseline,BASELINE-00163
loyalty_offer_missed,0.1362,0.9647,0.1815,0.6727,0.1436,540.5,0.3346,0.2772,0.3563,REP-0164,baseline,BASELINE-00164
clean,0.7082,0.9043,0.0,0.1027,0.0139,541.0,0.241,0.3878,0.3879,REP-0165,baseline,BASELINE-00165
clean,0.6378,0.9393,0.0955,0.0,0.0298,529.6,0.4063,0.3877,0.447,REP-0166,baseline,BASELINE-00166
gamed_metric,0.0943,0.8797,0.1374,0.4943,0.102,506.7,0.3654,0.2705,0.4181,REP-0167,baseline,BASELINE-00167
clean,0.7361,0.8747,0.0765,0.0,0.036,519.9,0.2058,0.2248,0.3316,REP-0168,baseline,BASELINE-00168
loyalty_offer_missed,0.1299,0.9635,0.1311,0.6385,0.1035,544.9,0.2761,0.2683,0.3622,REP-0169,baseline,BASELINE-00169
loyalty_offer_missed,0.0717,0.9112,0.2065,0.7102,0.0917,528.6,0.2847,0.3738,0.3103,REP-0170,baseline,BASELINE-00170
fraud_store_promo,0.1593,0.8501,0.2765,0.464,0.1062,519.0,0.1781,0.2915,0.383,REP-0171,baseline,BASELINE-00171
fraud_store_promo,0.1413,0.8799,0.2568,0.4985,0.0764,508.7,0.2937,0.2425,0.3413,REP-0172,baseline,BASELINE-00172
clean,0.6311,0.8949,0.0384,0.0988,0.0675,553.9,0.269,0.2284,0.3792,REP-0173,baseline,BASELINE-00173
clean,0.6245,0.9557,0.0117,0.0053,0.0574,509.5,0.3664,0.3678,0.4309,REP-0174,baseline,BASELINE-00174
fraud_hic_exchange,0.1089,0.9261,0.3563,0.5015,0.085,492.1,0.2981,0.2466,0.3863,REP-0175,baseline,BASELINE-00175
clean,0.6476,0.8897,0.0522,0.0674,0.0578,563.9,0.392,0.297,0.3461,REP-0176,baseline,BASELINE-00176
loyalty_offer_missed,0.0335,0.9317,0.2063,0.6349,0.1176,573.6,0.431,0.3726,0.3785,REP-0177,baseline,BASELINE-00177
clean,0.5319,0.9334,0.0917,0.0206,0.0404,549.6,0.425,0.3168,0.3972,REP-0178,baseline,BASELINE-00178
loyalty_offer_missed,0.0631,0.9465,0.1718,0.6403,0.1024,550.5,0.2695,0.342,0.3418,REP-0179,baseline,BASELINE-00179
clean,0.6182,0.9298,0.1276,0.0379,0.048,552.0,0.2719,0.3614,0.3073,REP-0180,baseline,BASELINE-00180
clean,0.7016,0.8989,0.0568,0.0466,0.0493,484.8,0.2563,0.2477,0.4901,REP-0181,baseline,BASELINE-00181
clean,0.5612,0.9244,0.0658,0.0714,0.0588,578.2,0.497,0.3929,0.3847,REP-0182,baseline,BASELINE-00182
clean,0.6896,0.9038,0.03,0.087,0.0847,610.1,0.4299,0.3623,0.4273,REP-0183,baseline,BASELINE-00183
loyalty_offer_missed,0.0256,0.9338,0.1816,0.6749,0.1146,546.2,0.3433,0.3767,0.41,REP-0184,baseline,BASELINE-00184
clean,0.7487,0.9196,0.0656,0.1142,0.0473,541.6,0.2314,0.2348,0.3376,REP-0185,baseline,BASELINE-00185
fraud_care_promo,0.3133,0.9455,0.2137,0.3758,0.0996,546.0,0.2211,0.3284,0.3129,REP-0186,baseline,BASELINE-00186
fraud_care_promo,0.267,0.9365,0.1977,0.3904,0.0968,545.8,0.2156,0.3568,0.334,REP-0187,baseline,BASELINE-00187
clean,0.6082,0.8995,0.085,0.0778,0.0424,570.6,0.4069,0.4366,0.3308,REP-0188,baseline,BASELINE-00188
clean,0.666,0.9113,0.0174,0.051,0.051,498.2,0.1874,0.1863,0.3441,REP-0189,baseline,BASELINE-00189
loyalty_offer_missed,0.1277,0.9494,0.1782,0.595,0.1381,542.2,0.33,0.2896,0.4378,REP-0190,baseline,BASELINE-00190
clean,0.6917,0.9152,0.0416,0.0,0.0736,550.8,0.2316,0.2806,0.2738,REP-0191,baseline,BASELINE-00191
unresolvable_clean,0.0591,0.5452,0.3034,0.21,0.0885,537.0,0.2016,0.3582,0.4152,REP-0192,baseline,BASELINE-00192
clean,0.5712,0.8742,0.0852,0.0475,0.0426,567.3,0.3869,0.4082,0.5208,REP-0193,baseline,BASELINE-00193
clean,0.6381,0.8673,0.1043,0.0664,0.0,494.0,0.2126,0.3908,0.3828,REP-0194,baseline,BASELINE-00194
fraud_line_add,0.196,0.8793,0.3106,0.4312,0.0871,517.1,0.2855,0.3147,0.42,REP-0195,baseline,BASELINE-00195
fraud_care_promo,0.2205,0.9152,0.1892,0.4355,0.0924,508.8,0.3141,0.3217,0.4056,REP-0196,baseline,BASELINE-00196
fraud_hic_exchange,0.131,0.878,0.3124,0.4766,0.0941,577.7,0.482,0.3107,0.4661,REP-0197,baseline,BASELINE-00197
clean,0.574,0.9046,0.0974,0.0689,0.085,530.9,0.3459,0.3751,0.4118,REP-0198,baseline,BASELINE-00198
unresolvable_clean,0.063,0.5546,0.3429,0.2386,0.0462,535.7,0.2006,0.2697,0.3575,REP-0199,baseline,BASELINE-00199
gamed_metric,0.1021,0.9131,0.1139,0.5386,0.0767,527.5,0.2157,0.4009,0.4498,REP-0200,baseline,BASELINE-00200
clean,0.5523,0.9278,0.0433,0.0443,0.0635,524.5,0.3767,0.2919,0.3673,REP-0201,baseline,BASELINE-00201
clean,0.6513,0.913,0.1095,0.005,0.0352,522.5,0.2468,0.2662,0.4318,REP-0202,baseline,BASELINE-00202
loyalty_offer_missed,0.0808,0.943,0.1581,0.5952,0.1309,539.1,0.1776,0.2933,0.4235,REP-0203,baseline,BASELINE-00203
